"age","job","marital","education","default","balance","housing","contact","duration","campaign","pdays","previous","poutcome","signedup","Year","Date"
26,"blue-collar","single","secondary","no",37,"no","cellular",301,2,-1,0,"unknown",0,2018,2018-01-01
57,"unemployed","married","secondary","no",4588,"no","cellular",485,3,-1,0,"unknown",0,2018,2018-01-01
46,"blue-collar","married","primary","no",201,"no","cellular",163,6,-1,0,"unknown",0,2018,2018-01-01
39,"technician","single","secondary","no",201,"no","unknown",148,4,-1,0,"unknown",0,2018,2018-01-01
70,"retired","married","primary","no",3230,"no","cellular",300,2,48,1,"failure",0,2018,2018-01-01
43,"blue-collar","divorced","secondary","no",-259,"no","cellular",732,1,171,2,"other",0,2018,2018-01-01
52,"technician","married","secondary","no",526,"no","cellular",60,6,-1,0,"unknown",0,2018,2018-01-02
31,"unemployed","married","tertiary","no",591,"no","cellular",161,2,-1,0,"unknown",0,2018,2018-01-02
36,"technician","married","secondary","no",278,"no","cellular",121,16,-1,0,"unknown",0,2018,2018-01-02
50,"admin.","married","secondary","no",715,"no","cellular",131,13,-1,0,"unknown",0,2018,2018-01-02
60,"retired","married","tertiary","no",3461,"no","cellular",128,2,-1,0,"unknown",0,2018,2018-01-02
43,"admin.","married","unknown","no",3485,"no","unknown",113,1,-1,0,"unknown",0,2018,2018-01-02
39,"blue-collar","single","secondary","no",1961,"no","unknown",216,1,-1,0,"unknown",0,2018,2018-01-02
55,"services","married","secondary","no",0,"no","cellular",106,1,-1,0,"unknown",0,2018,2018-01-02
44,"management","married","tertiary","no",2876,"no","unknown",125,1,-1,0,"unknown",0,2018,2018-01-02
26,"admin.","single","secondary","no",187,"no","cellular",226,2,-1,0,"unknown",0,2018,2018-01-02
59,"management","single","tertiary","no",911,"no","unknown",172,2,-1,0,"unknown",0,2018,2018-01-02
38,"management","married","tertiary","no",1,"no","cellular",342,2,-1,0,"unknown",0,2018,2018-01-02
52,"admin.","married","secondary","no",350,"no","cellular",460,2,-1,0,"unknown",0,2018,2018-01-02
34,"technician","married","secondary","no",22,"no","cellular",270,3,-1,0,"unknown",0,2018,2018-01-02
53,"management","single","tertiary","no",0,"no","cellular",595,1,-1,0,"unknown",0,2018,2018-01-02
50,"management","married","tertiary","yes",72,"no","cellular",171,13,-1,0,"unknown",0,2018,2018-01-02
38,"admin.","single","secondary","no",-211,"no","cellular",166,2,-1,0,"unknown",0,2018,2018-01-02
43,"technician","divorced","secondary","no",1532,"no","cellular",61,2,-1,0,"unknown",0,2018,2018-01-02
38,"admin.","single","secondary","no",0,"no","cellular",452,3,-1,0,"unknown",0,2018,2018-01-02
36,"management","single","tertiary","no",0,"no","cellular",300,1,96,4,"failure",0,2018,2018-01-02
48,"unemployed","married","primary","no",9622,"no","cellular",787,6,-1,0,"unknown",0,2018,2018-01-02
61,"housemaid","married","primary","no",368,"no","cellular",62,3,-1,0,"unknown",0,2018,2018-01-02
52,"technician","married","secondary","no",136,"no","cellular",88,5,-1,0,"unknown",0,2018,2018-01-02
41,"admin.","married","secondary","no",4539,"no","unknown",298,3,-1,0,"unknown",0,2018,2018-01-02
33,"services","married","secondary","no",0,"no","cellular",128,1,-1,0,"unknown",0,2018,2018-01-02
30,"management","single","tertiary","no",414,"no","cellular",635,5,-1,0,"unknown",0,2018,2018-01-02
55,"blue-collar","married","unknown","no",7561,"no","unknown",685,3,-1,0,"unknown",1,2018,2018-01-02
34,"technician","married","secondary","no",1137,"no","cellular",383,2,206,1,"other",0,2018,2018-01-02
55,"blue-collar","married","secondary","no",644,"no","cellular",42,3,-1,0,"unknown",0,2018,2018-01-02
27,"management","married","tertiary","no",4909,"no","cellular",159,3,-1,0,"unknown",0,2018,2018-01-02
43,"management","married","tertiary","no",1993,"no","cellular",37,1,174,1,"failure",0,2018,2018-01-02
33,"management","single","tertiary","no",191,"no","cellular",678,4,209,1,"failure",0,2018,2018-01-02
52,"blue-collar","married","primary","no",1949,"no","cellular",108,2,-1,0,"unknown",0,2018,2018-01-02
25,"student","single","secondary","no",469,"no","cellular",273,1,86,1,"other",1,2018,2018-01-02
29,"admin.","single","secondary","no",1277,"no","cellular",165,2,481,1,"success",1,2018,2018-01-02
34,"management","married","secondary","no",42,"no","cellular",82,3,-1,0,"unknown",0,2018,2018-01-02
35,"housemaid","married","tertiary","no",3831,"no","cellular",59,2,-1,0,"unknown",0,2018,2018-01-02
25,"admin.","single","tertiary","no",11,"no","cellular",236,3,-1,0,"unknown",0,2018,2018-01-02
52,"management","married","primary","no",324,"no","cellular",81,1,-1,0,"unknown",0,2018,2018-01-02
32,"management","single","tertiary","no",2613,"no","cellular",520,2,-1,0,"unknown",0,2018,2018-01-02
45,"admin.","married","secondary","yes",-571,"no","cellular",332,2,-1,0,"unknown",0,2018,2018-01-02
47,"admin.","married","secondary","no",2,"no","cellular",89,1,-1,0,"unknown",0,2018,2018-01-02
31,"blue-collar","married","tertiary","no",-35,"no","cellular",952,2,-1,0,"unknown",1,2018,2018-01-02
24,"admin.","single","secondary","no",5,"no","cellular",66,1,330,1,"failure",0,2018,2018-01-02
50,"technician","divorced","unknown","no",2794,"no","cellular",1336,2,-1,0,"unknown",1,2018,2018-01-02
52,"technician","married","secondary","no",0,"no","cellular",541,3,-1,0,"unknown",1,2018,2018-01-02
47,"entrepreneur","divorced","secondary","no",186,"no","cellular",112,2,-1,0,"unknown",0,2018,2018-01-02
47,"services","married","secondary","no",459,"no","cellular",599,3,-1,0,"unknown",0,2018,2018-01-02
53,"admin.","married","secondary","no",8449,"no","cellular",123,2,-1,0,"unknown",0,2018,2018-01-02
59,"unemployed","single","secondary","no",865,"no","cellular",1086,1,-1,0,"unknown",0,2018,2018-01-02
58,"management","divorced","tertiary","no",1266,"no","unknown",164,1,-1,0,"unknown",0,2018,2018-01-02
34,"student","single","unknown","no",1281,"no","cellular",279,1,117,1,"failure",0,2018,2018-01-02
27,"blue-collar","single","primary","no",21,"no","cellular",197,4,-1,0,"unknown",0,2018,2018-01-02
29,"admin.","single","secondary","no",-133,"no","cellular",108,1,-1,0,"unknown",0,2018,2018-01-02
35,"blue-collar","married","primary","no",828,"no","unknown",468,8,-1,0,"unknown",0,2018,2018-01-02
36,"management","divorced","tertiary","no",0,"no","cellular",247,4,-1,0,"unknown",0,2018,2018-01-02
40,"blue-collar","single","primary","no",397,"no","unknown",163,1,-1,0,"unknown",0,2018,2018-01-02
32,"technician","married","secondary","no",3095,"no","cellular",204,10,-1,0,"unknown",0,2018,2018-01-02
52,"technician","married","secondary","no",786,"no","cellular",310,1,-1,0,"unknown",0,2018,2018-01-02
51,"blue-collar","married","secondary","no",279,"no","cellular",64,3,-1,0,"unknown",0,2018,2018-01-02
55,"management","married","secondary","no",8592,"no","unknown",255,1,-1,0,"unknown",0,2018,2018-01-03
49,"management","single","tertiary","no",2555,"no","cellular",263,2,-1,0,"unknown",0,2018,2018-01-03
52,"self-employed","married","secondary","no",-201,"no","cellular",905,1,133,2,"failure",0,2018,2018-01-03
50,"technician","married","secondary","no",2242,"no","cellular",170,2,-1,0,"unknown",0,2018,2018-01-03
53,"blue-collar","married","primary","yes",-462,"no","cellular",470,1,-1,0,"unknown",1,2018,2018-01-03
32,"management","single","tertiary","no",1966,"no","cellular",176,3,-1,0,"unknown",0,2018,2018-01-03
32,"self-employed","married","secondary","no",409,"no","cellular",217,2,-1,0,"unknown",1,2018,2018-01-03
60,"retired","married","secondary","no",208,"no","cellular",70,4,-1,0,"unknown",0,2018,2018-01-03
46,"management","married","tertiary","no",182,"no","cellular",317,1,-1,0,"unknown",0,2018,2018-01-03
36,"management","divorced","tertiary","no",59,"no","cellular",526,2,-1,0,"unknown",1,2018,2018-01-03
48,"technician","married","secondary","no",480,"no","cellular",371,1,-1,0,"unknown",0,2018,2018-01-03
39,"management","divorced","unknown","no",401,"no","unknown",126,1,-1,0,"unknown",0,2018,2018-01-03
52,"management","married","secondary","no",0,"no","cellular",249,3,-1,0,"unknown",0,2018,2018-01-03
36,"technician","married","secondary","no",594,"no","cellular",230,3,-1,0,"unknown",0,2018,2018-01-03
48,"unknown","married","unknown","no",286,"no","cellular",166,2,-1,0,"unknown",0,2018,2018-01-03
33,"blue-collar","single","primary","yes",-15,"no","cellular",326,2,-1,0,"unknown",0,2018,2018-01-03
54,"retired","married","primary","no",1156,"no","unknown",64,2,-1,0,"unknown",0,2018,2018-01-03
45,"housemaid","divorced","tertiary","no",2098,"no","unknown",81,3,-1,0,"unknown",0,2018,2018-01-03
30,"self-employed","single","secondary","no",192,"no","cellular",423,1,-1,0,"unknown",0,2018,2018-01-03
29,"admin.","single","tertiary","no",8,"no","cellular",107,1,-1,0,"unknown",0,2018,2018-01-03
41,"management","married","tertiary","no",1773,"no","unknown",106,1,-1,0,"unknown",0,2018,2018-01-03
59,"unemployed","married","primary","no",13836,"no","telephone",733,1,-1,0,"unknown",0,2018,2018-01-03
52,"blue-collar","married","unknown","no",-4,"no","unknown",336,3,-1,0,"unknown",0,2018,2018-01-03
43,"blue-collar","married","secondary","no",1035,"no","cellular",122,1,-1,0,"unknown",0,2018,2018-01-03
47,"technician","married","secondary","no",2480,"no","cellular",763,2,-1,0,"unknown",1,2018,2018-01-03
29,"blue-collar","single","secondary","no",-20,"no","cellular",574,1,-1,0,"unknown",1,2018,2018-01-03
34,"management","married","tertiary","no",333,"no","cellular",170,1,-1,0,"unknown",0,2018,2018-01-03
49,"admin.","single","secondary","no",275,"no","unknown",14,1,-1,0,"unknown",0,2018,2018-01-03
35,"technician","single","tertiary","no",914,"no","unknown",166,1,-1,0,"unknown",0,2018,2018-01-03
30,"technician","single","tertiary","no",411,"no","cellular",127,3,149,2,"failure",1,2018,2018-01-03
39,"blue-collar","married","primary","no",3324,"no","cellular",96,1,131,1,"failure",0,2018,2018-01-03
46,"technician","married","secondary","no",792,"no","unknown",170,2,-1,0,"unknown",0,2018,2018-01-03
29,"admin.","single","tertiary","no",514,"no","cellular",270,1,-1,0,"unknown",0,2018,2018-01-03
71,"retired","married","tertiary","no",3561,"no","telephone",577,7,-1,0,"unknown",1,2018,2018-01-03
51,"housemaid","married","secondary","no",294,"no","cellular",640,1,-1,0,"unknown",0,2018,2018-01-03
58,"unknown","married","tertiary","no",327,"no","telephone",124,4,-1,0,"unknown",0,2018,2018-01-03
59,"technician","married","secondary","no",2528,"no","unknown",216,1,-1,0,"unknown",0,2018,2018-01-03
56,"blue-collar","married","primary","no",2442,"no","cellular",111,7,-1,0,"unknown",0,2018,2018-01-03
52,"unemployed","married","secondary","no",1416,"no","cellular",218,3,187,3,"success",1,2018,2018-01-03
50,"entrepreneur","divorced","tertiary","no",541,"no","cellular",204,1,-1,0,"unknown",0,2018,2018-01-03
60,"management","married","tertiary","no",13360,"no","unknown",264,1,-1,0,"unknown",0,2018,2018-01-03
30,"technician","single","secondary","no",3048,"no","cellular",223,2,-1,0,"unknown",0,2018,2018-01-03
31,"management","married","secondary","no",0,"no","cellular",81,2,-1,0,"unknown",0,2018,2018-01-03
52,"management","married","secondary","no",335,"no","cellular",411,1,182,1,"failure",1,2018,2018-01-03
53,"technician","married","secondary","no",65,"no","cellular",99,1,92,2,"failure",0,2018,2018-01-03
49,"management","married","tertiary","no",64,"no","cellular",208,1,159,1,"success",0,2018,2018-01-03
52,"admin.","divorced","secondary","no",1426,"no","cellular",115,1,-1,0,"unknown",0,2018,2018-01-03
78,"retired","divorced","unknown","no",0,"no","telephone",259,1,-1,0,"unknown",0,2018,2018-01-03
30,"management","single","tertiary","no",2,"no","cellular",269,1,-1,0,"unknown",0,2018,2018-01-03
32,"management","single","tertiary","no",566,"no","cellular",114,2,-1,0,"unknown",0,2018,2018-01-03
53,"admin.","single","secondary","no",1958,"no","telephone",164,4,-1,0,"unknown",0,2018,2018-01-03
35,"self-employed","married","secondary","no",28,"no","unknown",159,3,-1,0,"unknown",0,2018,2018-01-03
37,"management","married","tertiary","no",1893,"no","cellular",353,2,-1,0,"unknown",0,2018,2018-01-03
49,"retired","married","primary","no",1381,"no","unknown",73,2,-1,0,"unknown",0,2018,2018-01-03
50,"services","married","secondary","no",1126,"no","cellular",679,1,-1,0,"unknown",0,2018,2018-01-03
54,"housemaid","married","secondary","no",991,"no","telephone",11,6,-1,0,"unknown",0,2018,2018-01-03
48,"blue-collar","married","secondary","no",0,"no","cellular",311,5,-1,0,"unknown",0,2018,2018-01-03
39,"technician","married","secondary","no",355,"no","cellular",132,1,-1,0,"unknown",0,2018,2018-01-04
48,"management","married","tertiary","no",6613,"no","unknown",159,3,-1,0,"unknown",0,2018,2018-01-04
39,"housemaid","married","primary","no",15352,"no","unknown",99,1,-1,0,"unknown",0,2018,2018-01-04
42,"management","divorced","tertiary","no",497,"no","unknown",84,22,-1,0,"unknown",0,2018,2018-01-04
57,"management","divorced","unknown","no",2986,"no","unknown",1563,1,166,3,"success",0,2018,2018-01-04
53,"admin.","married","secondary","no",769,"no","cellular",59,1,-1,0,"unknown",0,2018,2018-01-04
59,"retired","married","secondary","no",667,"no","cellular",486,1,-1,0,"unknown",0,2018,2018-01-04
35,"management","single","tertiary","no",75,"no","cellular",122,5,-1,0,"unknown",0,2018,2018-01-04
40,"admin.","married","secondary","no",1614,"no","cellular",338,1,-1,0,"unknown",0,2018,2018-01-04
54,"management","divorced","tertiary","no",496,"no","cellular",452,3,-1,0,"unknown",1,2018,2018-01-04
55,"unemployed","married","primary","no",1212,"no","cellular",241,1,92,1,"failure",0,2018,2018-01-04
45,"blue-collar","married","primary","no",-60,"no","cellular",110,4,-1,0,"unknown",0,2018,2018-01-04
28,"blue-collar","married","secondary","no",17,"no","unknown",8,4,-1,0,"unknown",0,2018,2018-01-04
19,"student","single","unknown","no",779,"no","cellular",184,4,-1,0,"unknown",1,2018,2018-01-04
40,"blue-collar","married","primary","no",303,"no","unknown",104,6,-1,0,"unknown",0,2018,2018-01-04
40,"management","married","tertiary","no",5142,"no","cellular",147,2,224,1,"failure",0,2018,2018-01-04
39,"entrepreneur","married","tertiary","no",1654,"no","cellular",376,1,-1,0,"unknown",0,2018,2018-01-04
30,"management","single","tertiary","no",502,"no","cellular",572,1,-1,0,"unknown",1,2018,2018-01-04
35,"blue-collar","married","secondary","no",86,"no","cellular",127,1,111,2,"failure",0,2018,2018-01-04
42,"technician","divorced","secondary","no",19,"no","cellular",875,4,-1,0,"unknown",1,2018,2018-01-04
64,"blue-collar","married","primary","no",1904,"no","telephone",67,2,-1,0,"unknown",0,2018,2018-01-04
38,"management","divorced","tertiary","no",162,"no","cellular",323,4,-1,0,"unknown",0,2018,2018-01-04
58,"housemaid","married","primary","no",0,"no","cellular",334,3,79,3,"other",0,2018,2018-01-04
27,"blue-collar","single","secondary","no",113,"no","cellular",39,17,-1,0,"unknown",0,2018,2018-01-04
49,"blue-collar","married","secondary","no",141,"no","cellular",275,1,-1,0,"unknown",0,2018,2018-01-04
41,"management","married","tertiary","no",7028,"no","cellular",98,1,-1,0,"unknown",0,2018,2018-01-04
34,"admin.","married","secondary","no",920,"no","cellular",526,3,179,3,"success",1,2018,2018-01-04
27,"blue-collar","married","secondary","no",1024,"no","cellular",280,6,-1,0,"unknown",0,2018,2018-01-04
40,"management","married","tertiary","no",2014,"no","cellular",209,5,-1,0,"unknown",0,2018,2018-01-04
41,"entrepreneur","married","secondary","no",30,"no","cellular",460,1,-1,0,"unknown",1,2018,2018-01-04
42,"admin.","married","secondary","no",-465,"no","cellular",102,1,-1,0,"unknown",0,2018,2018-01-04
36,"blue-collar","married","secondary","no",1193,"no","cellular",640,1,-1,0,"unknown",1,2018,2018-01-04
39,"technician","married","secondary","no",116,"no","cellular",79,2,94,2,"success",0,2018,2018-01-04
27,"blue-collar","single","secondary","yes",-27,"no","unknown",498,2,-1,0,"unknown",1,2018,2018-01-04
57,"retired","single","primary","no",604,"no","cellular",187,1,-1,0,"unknown",0,2018,2018-01-04
53,"admin.","married","secondary","no",350,"no","cellular",113,3,132,2,"failure",0,2018,2018-01-04
53,"admin.","married","secondary","no",1796,"no","telephone",476,1,193,1,"failure",1,2018,2018-01-04
41,"housemaid","married","secondary","no",12,"no","cellular",472,3,-1,0,"unknown",0,2018,2018-01-04
59,"admin.","married","secondary","no",6264,"no","cellular",353,16,-1,0,"unknown",0,2018,2018-01-04
43,"admin.","married","secondary","no",1113,"no","unknown",477,7,-1,0,"unknown",0,2018,2018-01-04
32,"admin.","single","tertiary","no",725,"no","cellular",53,4,-1,0,"unknown",0,2018,2018-01-04
33,"services","married","secondary","no",1697,"no","cellular",179,1,-1,0,"unknown",1,2018,2018-01-04
58,"entrepreneur","married","tertiary","yes",0,"no","cellular",138,4,-1,0,"unknown",0,2018,2018-01-04
32,"blue-collar","married","primary","no",2198,"no","cellular",463,1,175,4,"failure",0,2018,2018-01-04
47,"blue-collar","single","unknown","no",2443,"no","unknown",422,1,-1,0,"unknown",0,2018,2018-01-04
40,"management","divorced","tertiary","no",492,"no","cellular",125,2,-1,0,"unknown",0,2018,2018-01-04
34,"blue-collar","married","secondary","no",765,"no","cellular",238,1,-1,0,"unknown",0,2018,2018-01-04
51,"blue-collar","married","unknown","no",296,"no","cellular",177,1,-1,0,"unknown",0,2018,2018-01-04
39,"services","married","tertiary","no",1493,"no","cellular",912,3,-1,0,"unknown",1,2018,2018-01-04
50,"management","single","tertiary","no",486,"no","unknown",28,1,-1,0,"unknown",0,2018,2018-01-04
37,"blue-collar","married","secondary","no",1736,"no","unknown",66,1,-1,0,"unknown",0,2018,2018-01-04
50,"management","married","tertiary","no",536,"no","unknown",75,3,-1,0,"unknown",0,2018,2018-01-05
77,"retired","married","primary","no",680,"no","telephone",341,4,94,3,"failure",0,2018,2018-01-05
64,"retired","married","secondary","no",1220,"no","cellular",138,1,-1,0,"unknown",0,2018,2018-01-05
33,"admin.","married","secondary","no",89,"no","telephone",524,3,-1,0,"unknown",0,2018,2018-01-05
45,"self-employed","married","secondary","no",706,"no","cellular",78,2,176,1,"success",0,2018,2018-01-05
37,"management","married","tertiary","no",238,"no","cellular",149,1,-1,0,"unknown",1,2018,2018-01-05
58,"technician","married","secondary","no",1191,"no","cellular",78,2,-1,0,"unknown",0,2018,2018-01-05
48,"admin.","single","secondary","no",-58,"no","unknown",123,1,-1,0,"unknown",0,2018,2018-01-05
78,"retired","divorced","secondary","no",3219,"no","cellular",151,1,-1,0,"unknown",1,2018,2018-01-05
27,"admin.","single","secondary","no",914,"no","cellular",131,2,-1,0,"unknown",0,2018,2018-01-05
57,"retired","married","primary","no",3549,"no","cellular",51,36,-1,0,"unknown",0,2018,2018-01-05
45,"blue-collar","married","secondary","no",1239,"no","telephone",67,4,-1,0,"unknown",0,2018,2018-01-05
52,"services","married","secondary","no",2072,"no","cellular",224,1,-1,0,"unknown",0,2018,2018-01-05
37,"blue-collar","married","primary","no",213,"no","unknown",323,1,-1,0,"unknown",0,2018,2018-01-05
46,"technician","single","tertiary","no",3133,"no","cellular",411,3,-1,0,"unknown",0,2018,2018-01-05
56,"management","married","tertiary","no",665,"no","cellular",25,12,-1,0,"unknown",0,2018,2018-01-05
49,"management","married","tertiary","no",223,"no","cellular",22,22,-1,0,"unknown",0,2018,2018-01-05
55,"retired","married","secondary","no",123,"no","cellular",70,8,-1,0,"unknown",0,2018,2018-01-05
32,"admin.","married","tertiary","no",653,"no","cellular",84,1,-1,0,"unknown",1,2018,2018-01-05
56,"self-employed","married","tertiary","no",719,"no","cellular",236,2,-1,0,"unknown",0,2018,2018-01-05
78,"retired","married","primary","no",158,"no","cellular",360,1,-1,0,"unknown",0,2018,2018-01-05
32,"technician","single","tertiary","no",632,"no","cellular",103,2,-1,0,"unknown",0,2018,2018-01-05
55,"entrepreneur","divorced","primary","no",29,"no","unknown",500,1,-1,0,"unknown",0,2018,2018-01-05
38,"blue-collar","divorced","primary","no",0,"no","unknown",49,2,-1,0,"unknown",0,2018,2018-01-05
59,"unemployed","married","secondary","no",309,"no","cellular",300,1,-1,0,"unknown",0,2018,2018-01-05
70,"management","married","tertiary","no",10171,"no","cellular",65,2,-1,0,"unknown",0,2018,2018-01-05
40,"technician","married","secondary","no",240,"no","unknown",68,4,-1,0,"unknown",0,2018,2018-01-05
50,"technician","divorced","secondary","no",1303,"no","telephone",274,2,-1,0,"unknown",0,2018,2018-01-05
80,"retired","married","primary","no",155,"no","telephone",343,2,-1,0,"unknown",1,2018,2018-01-05
20,"student","single","secondary","no",29,"no","cellular",85,2,-1,0,"unknown",0,2018,2018-01-05
28,"technician","single","secondary","no",227,"no","cellular",278,1,-1,0,"unknown",1,2018,2018-01-05
49,"housemaid","married","primary","no",3376,"no","unknown",119,3,-1,0,"unknown",0,2018,2018-01-05
51,"technician","married","secondary","no",856,"no","cellular",99,2,-1,0,"unknown",0,2018,2018-01-05
54,"retired","married","primary","no",235,"no","cellular",353,2,113,5,"failure",0,2018,2018-01-05
32,"self-employed","married","tertiary","no",1423,"no","cellular",1249,4,-1,0,"unknown",1,2018,2018-01-05
51,"unemployed","married","secondary","no",2439,"no","cellular",118,1,-1,0,"unknown",0,2018,2018-01-05
57,"entrepreneur","married","tertiary","no",729,"no","cellular",475,1,-1,0,"unknown",0,2018,2018-01-05
59,"unemployed","divorced","secondary","no",2921,"no","telephone",251,1,-1,0,"unknown",0,2018,2018-01-05
47,"blue-collar","married","secondary","no",11305,"no","cellular",118,6,-1,0,"unknown",0,2018,2018-01-06
56,"blue-collar","married","secondary","no",339,"no","telephone",114,3,-1,0,"unknown",0,2018,2018-01-06
31,"technician","divorced","secondary","no",-174,"no","cellular",113,10,-1,0,"unknown",0,2018,2018-01-06
47,"technician","married","secondary","no",1219,"no","cellular",697,4,-1,0,"unknown",1,2018,2018-01-06
29,"self-employed","married","secondary","no",0,"no","unknown",469,2,-1,0,"unknown",0,2018,2018-01-06
38,"management","married","unknown","no",1257,"no","cellular",64,6,-1,0,"unknown",0,2018,2018-01-06
36,"admin.","single","secondary","no",728,"no","cellular",230,1,-1,0,"unknown",1,2018,2018-01-06
